Company Name,Internship Title,Sector,Area/Field,No. of Opportunities,Location,State/UT,District,Village,ZIP/Postal Code,Minimum Qualification,Course,Specialization,Certification(s),Preferred Skill(s),Qualification Description,Benefits,Benefits Description,Description,Candidates Already Applied
Adani Green Energy,Social Work Intern,NGO/Non-Profit,Digital Marketing,3,Kochi,Kerala,Ernakulam,Aluva,682001,10th Pass,BBA,Mass Communication,Google Analytics Certificate,"Excel, problem-solving",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹24,000; travel reimbursement.",Mentorship program and soft skills training.,"The Social Work Intern role involves assisting senior staff with project execution, analysis, and deliverable preparation.",10
Bharti Airtel,Data Analyst Intern,Hospitality,Graphic Design,8,Dausa,Rajasthan,Dausa,Lalsot,303511,10th Pass,B.Com,Biotechnology,Lab Safety Certificate,"Customer service, MS Office",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹7,000; travel reimbursement.",Professional development sessions and certificate on completion.,"As a Data Analyst Intern, you will support graphic design tasks, perform data collection and reporting, and engage with team meetings.",18
Swiggy,Hospitality Operations Intern,Manufacturing,Biotechnology,7,Mysore,Karnataka,Mysore,Mandya,570001,10th Pass,Bachelor of Journalism,Biotechnology,Lab Safety Certificate,"Event planning, coordination",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹18,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"Join as Hospitality Operations Intern in the Biotechnology department to assist in testing, documentation, and process improvements.",8
Microsoft India,Lab Technician Intern,Hospitality,Journalism & Mass Communication,7,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,10th Pass,BBA,Biotechnology,Python Programming Certificate,"MATLAB, data analysis",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹9,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","As a Lab Technician Intern, you will support journalism & mass communication tasks, perform data collection and reporting, and engage with team meetings.",16
Maruti Suzuki,Graphic Design Intern,Technology,Biotechnology,5,Mysore,Karnataka,Mysore,Mandya,570001,Undergraduate,BBA,Hotel Management,Communication Skills Certificate,"Communication, teamwork",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹11,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"In this Graphic Design Intern, you will participate in project cycles, data analysis, and stakeholder communications in Biotechnology.",12
Wipro,Lab Technician Intern,Education,Finance & Accounting,7,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Diploma,10th Pass,Social Work,Hospitality Management Certificate,"Photography, editing",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹21,000; travel reimbursement.",On-the-job training with industry experts and workshop access.,"Join as Lab Technician Intern in the Finance & Accounting department to assist in testing, documentation, and process improvements.",10
Samsung India,Data Analyst Intern,Education,Journalism & Mass Communication,4,Dehradun,Uttarakhand,Dehradun,Mussoorie,248001,Undergraduate,B.A.,Digital Marketing,Google Analytics Certificate,"MATLAB, data analysis",Applicants with minimum qualification can apply; PGs excluded.,"Stipend of ₹29,000; travel reimbursement.",Skill-building workshops and career guidance sessions.,"This internship offers exposure to journalism & mass communication, including research, design support, and presentation of findings.",15
Hindustan Unilever,Graphic Design Intern,Marketing & Media,Biotechnology,2,Dausa,Rajasthan,Dausa,Lalsot,303511,Diploma,B.Sc,Mass Communication,Communication Skills Certificate,"AutoCAD, design",Only candidates with specified qualification (10th/12th/Diploma/UG) may apply.,"Stipend of ₹12,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","In this Graphic Design Intern, you will participate in project cycles, data analysis, and stakeholder communications in Biotechnology.",12
Air India,Lab Technician Intern,Marketing & Media,Human Resources,3,Trichy,Tamil Nadu,Tiruchirappalli,Srirangam,620001,10th Pass,B.Com,Mass Communication,Google Analytics Certificate,"Event planning, coordination",Qualification eligibility as per minimum required; PGs not eligible.,"Stipend of ₹13,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","In this Lab Technician Intern, you will participate in project cycles, data analysis, and stakeholder communications in Human Resources.",19
Samsung India,HR Intern,Research,Social Work,10,Vizag,Andhra Pradesh,Visakhapatnam,Anakapalle,530001,12th Pass,B.E./B.Tech,Digital Marketing,Communication Skills Certificate,"Photography, editing",Candidates meeting the minimum qualification (10th/12th/Diploma/UG) eligible.,"Stipend of ₹10,000; travel reimbursement.","Hands-on training, mentorship, and networking opportunities.","In this HR Intern, you will participate in project cycles, data analysis, and stakeholder communications in Social Work.",17
Dabur,Lab Technician Intern,Education,Digital Marketing,8,Mysore,Karnataka,Mysore,Mandya,570001,Diploma,B.E./B.Tech,Hotel Management,Python Programming Certificate,"Photography, editing",Open to candidates meeting minimum qualification; no postgraduates.,"Stipend of ₹26,000; travel reimbursement.",Professional development sessions and certificate on completion.,"As a Lab Technician Intern, you will support digital marketing tasks, perform data collection and reporting, and engage with team meetings.",15
